Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",h2o_c + gmhep17bp_c  -> pi_c + gmhep1p_c ,3.1.3.82,21293.6,35.7
2HPTCOAT,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",2hptcoa_c + h2o_c  -> 2hptcl_c + coa_c ,,21323.97,22
DDPGALA_f,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,2dh3dgal6p_c  -> g3p_c + pyr_c ,4.1.2.21,21390.07,0.94
DDPGALA_b,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,g3p_c + pyr_c  -> 2dh3dgal6p_c ,4.1.2.21,21390.07,0.94
HPYRP,3-phosphohydroxypyruvate phosphatase,h2o_c + 3php_c  -> pi_c + hpyr_c ,3.6.1.-,21435,90.13177273
MOCDS,Molybdopterin cytidine dinucleotide synthase,h_c + ctp_c + moco_c  -> ppi_c + mococdp_c ,2.7.7.76,21513.26,0.0046
O16AT,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate O-acetyltransferase (LPS O16 antigen biosynthesis),accoa_c + ragund_c  -> coa_c + aragund_c ,2.3.1.-,21674.4,32.4876
GDPMNP,GDP-mannose phyrophosphatase,gdpmann_c + h2o_c  -> 2 h_c + man1p_c + gmp_c ,3.6.1.-,21748.01,151
LIPAHT2ex,Core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),h_e + colipa_e + hdca_e  -> hacolipa_e + h2o_e ,2.3.1.251,21768.9,46.80901367
LIPAHTex,Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),h_e + lipa_e + hdca_e  -> halipa_e + h2o_e ,2.3.1.251,21768.9,46.80901367
GTPCII2,GTP cyclohydrolase II (25drapp),3 h2o_c + gtp_c  -> 2 h_c + ppi_c + for_c + 25drapp_c ,3.5.4.25,21835.4,0.064
SPMDAT1,Spermidine acetyltransferase,accoa_c + spmd_c  -> h_c + N1aspmd_c + coa_c ,2.3.1.57,21886.39,8.7
SPMDAT2,Spermidine acetyltransferase (N8),accoa_c + spmd_c  -> h_c + n8aspmd_c + coa_c ,2.3.1.57,21886.39,8.7
NADPHQR2,NADPH Quinone Reductase (Ubiquinone-8),h_c + q8_c + nadph_c  -> q8h2_c + nadp_c ,,21890.2,22
NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),h_c + mqn8_c + nadph_c  -> nadp_c + mql8_c ,,21890.2,22
NADPHQR4,NADPH Quinone Reductase (2-Demethylmenaquinone-8),h_c + 2dmmq8_c + nadph_c  -> nadp_c + 2dmmql8_c ,,21890.2,22
CBLAT_f,Cob(I)alamin adenosyltransferase,h_c + cbl1_c + atp_c  -> adocbl_c + pppi_c ,2.5.1.17,21998.24,0.05
CBIAT_f,Cobinamide adenyltransferase,h_c + atp_c + cbi_c  -> pppi_c + adocbi_c ,2.5.1.17,21998.24,0.03
CBLAT_b,Cob(I)alamin adenosyltransferase,adocbl_c + pppi_c  -> h_c + cbl1_c + atp_c ,2.5.1.17,21998.24,0.11
CBIAT_b,Cobinamide adenyltransferase,pppi_c + adocbi_c  -> h_c + atp_c + cbi_c ,2.5.1.17,21998.24,0.11
DHFR_f,Dihydrofolate reductase,h_c + nadph_c + dhf_c  -> thf_c + nadp_c ,1.5.1.3,22173.19,21.75
DHFR_b,Dihydrofolate reductase,thf_c + nadp_c  -> h_c + nadph_c + dhf_c ,1.5.1.3,22173.19,22.6
SPODM,Superoxide dismutase,2 h_c + 2 o2s_c  -> o2_c + h2o2_c ,1.15.1.1,22180.785,22300
APG3PAT160,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0),glyc3p_c + hdcap_c  -> h_c + 1hdecg3p_c + pi_c ,2.3.1.15,22192.85,166.8
APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),glyc3p_c + hdceap_c  -> h_c + pi_c + 1hdec9eg3p_c ,2.3.1.15,22192.85,166.8
APG3PAT180,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0),glyc3p_c + ocdcap_c  -> h_c + pi_c + 1odecg3p_c ,2.3.1.15,22192.85,166.8
APG3PAT120,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0),glyc3p_c + ddcap_c  -> h_c + pi_c + 1ddecg3p_c ,2.3.1.15,22192.85,166.8
APG3PAT140,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0),glyc3p_c + ttdcap_c  -> h_c + pi_c + 1tdecg3p_c ,2.3.1.15,22192.85,166.8
APG3PAT141,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1),glyc3p_c + ttdceap_c  -> h_c + pi_c + 1tdec7eg3p_c ,2.3.1.15,22192.85,166.8
APG3PAT181,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1),glyc3p_c + ocdceap_c  -> h_c + 1odec11eg3p_c + pi_c ,2.3.1.15,22192.85,166.8
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,2ddg6p_c  -> g3p_c + pyr_c ,4.1.2.14,22283.42,149.93
OAADC,Oxaloacetate decarboxylase,h_c + oaa_c  -> pyr_c + co2_c ,4.1.2.14,22283.42,11
ADSK,Adenylyl-sulfate kinase,atp_c + aps_c  -> h_c + adp_c + paps_c ,2.7.1.25,22320.65,50
ADPRDP,ADPribose diphosphatase,adprib_c + h2o_c  -> 2 h_c + r5p_c + amp_c ,3.6.1.13,22409.265,11.6
TEO2M,Tellurite methyltransferase,amet_c + teo2_c  -> ahcys_c + mteo2_c ,2.1.1.265,22530.03,0.0524684
UPPRT,Uracil phosphoribosyltransferase,ura_c + prpp_c  -> ump_c + ppi_c ,2.4.2.9,22532.61,0.65
